dates,price
4/1/2013,93.55
4/2/2013,102.777
4/3/2013,143.663
4/4/2013,132.33
4/5/2013,138.051
4/6/2013,142.5
4/7/2013,144.188
4/8/2013,182
4/9/2013,194.01
4/10/2013,235.1
4/11/2013,180.094
4/12/2013,91.5
4/13/2013,119.332
4/14/2013,105.12
4/15/2013,99
4/16/2013,61.44
4/17/2013,76.631
4/18/2013,93
4/19/2013,130
4/20/2013,120.63
4/21/2013,122
4/22/2013,124.1
4/23/2013,127.242
4/24/2013,143.899
4/25/2013,157.251
4/26/2013,127
4/27/2013,136.5
4/28/2013,131.6
4/29/2013,136.61
4/30/2013,144.92
5/1/2013,132.52
5/2/2013,123.8
5/3/2013,93.605
5/4/2013,101.69
5/5/2013,108.004
5/6/2013,122.1
5/7/2013,108.45
5/8/2013,114.95
5/9/2013,112.68
5/10/2013,113.47
5/11/2013,114.88
5/12/2013,117
5/13/2013,115.86
5/14/2013,117.508
5/15/2013,112.7
5/16/2013,112
5/17/2013,113
5/18/2013,117.37
5/20/2013,118.3
5/21/2013,117.99
5/22/2013,118.2
5/23/2013,119.7
5/24/2013,123.8
5/25/2013,129.5
5/26/2013,128.5
5/27/2013,130.42
5/28/2013,125.62
5/29/2013,126.75
5/30/2013,129.78
5/31/2013,127.79
6/1/2013,127.99
6/2/2013,127.82
6/3/2013,117.61
6/4/2013,123.22
6/5/2013,119.62
6/6/2013,120.04
6/7/2013,117.48
6/8/2013,110.3
6/9/2013,99.06
6/10/2013,106
6/11/2013,107
6/12/2013,106.79
6/13/2013,107.91
6/14/2013,101.5
6/15/2013,98
6/16/2013,99.58
6/18/2013,101.58
6/19/2013,104.98
6/20/2013,106.4
6/21/2013,102.53
6/22/2013,100.24
6/23/2013,100.94
6/24/2013,101
6/25/2013,100.56
6/26/2013,98
6/27/2013,98.1
6/28/2013,92.85
6/29/2013,90.919
6/30/2013,88.67
7/1/2013,89.19
7/2/2013,84.84
7/3/2013,87.5
7/4/2013,76.15
7/5/2013,74.85
7/6/2013,68.79
7/7/2013,65.72
7/8/2013,73.5
7/9/2013,72.27
7/10/2013,76
7/11/2013,86.59
7/12/2013,95
7/13/2013,87.7
7/14/2013,91.33
7/15/2013,91
7/16/2013,92.75
7/17/2013,92.02
7/18/2013,79.56
7/19/2013,84.29
7/20/2013,86.3
7/21/2013,85.4
7/22/2013,86.4
7/23/2013,86.19
7/24/2013,86.76
7/25/2013,87.47
7/26/2013,89.59
7/27/2013,88.5
7/28/2013,88.3
7/29/2013,92.39
7/30/2013,93.68
7/31/2013,98.2
8/1/2013,97.21
8/2/2013,95.35
8/3/2013,96.51
8/4/2013,96.1
8/5/2013,96.67
8/6/2013,98.74
8/7/2013,97.39
8/8/2013,97
8/9/2013,94.01
8/10/2013,92.49
8/11/2013,93.55
8/12/2013,94
8/13/2013,95.23
8/14/2013,99.71
8/15/2013,99.02
8/16/2013,97.42
8/17/2013,98
8/18/2013,98.55
8/19/2013,102.9
8/20/2013,103.12
8/21/2013,106.42
8/22/2013,111
8/23/2013,107.96
8/24/2013,107.2
8/25/2013,109.76
8/26/2013,112.64
8/27/2013,117.75
8/28/2013,118
8/29/2013,117.91
8/30/2013,118.6
8/31/2013,125.89
9/1/2013,130.01
9/2/2013,129.03
9/3/2013,129.3
9/5/2013,122.29
9/6/2013,122.16
9/7/2013,118.11
9/8/2013,119.76
9/9/2013,117.37
9/10/2013,121.97
9/11/2013,119.9
9/12/2013,125.6
9/13/2013,127.45
9/14/2013,127.37
9/15/2013,124.77
9/16/2013,125.29
9/17/2013,125.73
9/18/2013,127.38
9/19/2013,127.47
9/20/2013,123.39
9/21/2013,123.38
9/22/2013,123.34
9/23/2013,123.57
9/24/2013,122.7
9/25/2013,124.5
9/27/2013,125.35
9/28/2013,126.47
9/29/2013,127.02
9/30/2013,125.9
10/1/2013,127.48
10/2/2013,126.95
10/3/2013,110.95
10/4/2013,119.5
10/5/2013,121.55
10/6/2013,122
10/7/2013,123.46
10/8/2013,123.37
10/9/2013,125.01
10/10/2013,125.9
10/11/2013,126.51
10/12/2013,127.59
10/13/2013,127.95
10/14/2013,134.35
10/15/2013,135
10/16/2013,145.9
10/17/2013,141.17
10/18/2013,144.2
10/19/2013,159.85
10/20/2013,165.98
10/21/2013,172.76
10/22/2013,189.95
10/23/2013,192
10/24/2013,161.99
10/25/2013,186
10/26/2013,184.1
10/28/2013,194.79
10/29/2013,196.49
10/30/2013,200.56
10/31/2013,199.9
11/1/2013,202.05
11/2/2013,204
11/3/2013,204.39
11/4/2013,214
11/5/2013,229.2
11/6/2013,254.49
11/7/2013,280.8
11/8/2013,306.84
11/9/2013,329
11/10/2013,316.36
11/11/2013,329.69
11/12/2013,346.09
11/13/2013,368
11/14/2013,413.25
11/15/2013,416.89
11/16/2013,427.48
11/17/2013,468.98
11/18/2013,532
11/19/2013,646.95
11/20/2013,488.5
11/21/2013,638.04
11/22/2013,717
11/23/2013,873.97
11/24/2013,811.99
11/25/2013,816.03
11/26/2013,848.7
11/27/2013,920
11/28/2013,974
11/29/2013,1016.012
11/30/2013,1149.99
12/1/2013,1077
12/2/2013,1039
12/3/2013,1030.919
12/4/2013,1071.04
12/5/2013,949.99
12/6/2013,994.34
12/7/2013,651.439
12/8/2013,773
12/9/2013,875
12/10/2013,932.99
12/11/2013,938.01
12/12/2013,860.01
12/13/2013,907.71
12/14/2013,862.01
12/15/2013,832.99
12/16/2013,839.929
12/17/2013,719.97
12/18/2013,490.991
12/19/2013,589.471
12/20/2013,697.99
12/21/2013,613.98
12/22/2013,655.85
12/23/2013,636.98
12/24/2013,651.8
12/25/2013,656.188
12/26/2013,710.49
12/27/2013,723.558
12/28/2013,719
12/29/2013,712.47
12/30/2013,729.79
12/31/2013,723
1/1/2014,744.97
1/2/2014,746
1/3/2014,790.6
1/4/2014,813.12
1/5/2014,841.27
1/6/2014,969.01
1/7/2014,907
1/8/2014,820
1/9/2014,843.98
1/10/2014,820
1/11/2014,868.31
1/12/2014,879.8
1/13/2014,821.54
1/14/2014,832.2
1/15/2014,834.2
1/16/2014,842.5
1/17/2014,813.99
1/18/2014,809.22
1/19/2014,804
1/20/2014,836
1/21/2014,819.6
1/22/2014,821.35
1/23/2014,818
1/24/2014,783
1/25/2014,792
1/26/2014,799
1/27/2014,818.85
1/28/2014,760.99
1/29/2014,794
1/30/2014,776.28
1/31/2014,808.76
2/1/2014,805.6
2/2/2014,826
2/3/2014,807.2
2/4/2014,809.2
2/5/2014,801.11
2/6/2014,775
2/7/2014,673.478
2/8/2014,721.68
2/9/2014,689.9
2/10/2014,686.17
2/11/2014,712.02
2/12/2014,645.01
2/13/2014,645.975
2/14/2014,597
2/15/2014,658
2/16/2014,653.01
2/17/2014,632.4
2/18/2014,638.87
2/19/2014,624.8
2/20/2014,601.8
2/21/2014,582
2/22/2014,576
2/23/2014,624.01
2/24/2014,576.12
2/25/2014,480
2/26/2014,601
2/27/2014,577.836
2/28/2014,576.676
3/1/2014,564.99
3/2/2014,569.89
3/3/2014,588
3/4/2014,678
3/5/2014,652
3/6/2014,665.1
3/7/2014,650.82
3/8/2014,624
3/9/2014,618.235
3/10/2014,639.31
3/11/2014,627.69
3/12/2014,636.62
3/13/2014,641.4
3/14/2014,637.39
3/15/2014,631
3/16/2014,637.6
3/17/2014,630
3/18/2014,613.31
3/19/2014,614.44
